Estado,Superficie_miles_Ha,Volumen_miles_Ton,Valor_millones_MXN,Anio
Oaxaca,1.16083,2.16705,21.72896788,2013
Durango,1.042,3.1665,40.6392,2013
Colima,0.553,2.946,38.00401088,2013
Veracruz,0.506,1.844,33.024,2013
Sinaloa,0.218,0.126,1.0782,2013
Hidalgo,0.202,0.3532,4.34789,2013
Baja California Sur,0.089,0.279,3.7028004300000004,2013
Guanajuato,0.068,0.2675,2.04239997,2013
Zacatecas,0.047,0.2989,4.18795216,2013
Baja California,0.0345,0.105,1.8711,2013
Querétaro,0.033,0.11159999999999999,1.0044,2013
Sonora,0.027,0.3496,4.26603,2013
Michoacán,127.05307,1219.1543000000001,17448.38459526,2014
Jalisco,14.87075,99.00792999999999,1384.4335659,2014
Estado de México,7.323,64.26834,679.3090067999999,2014
Nayarit,4.90337,31.353369999999998,267.09083715,2014
Guerrero,3.32449,9.17397,93.75692102,2014
Morelos,3.276,24.52255,226.18039663,2014
Chiapas,3.0714,6.3125,75.79218522,2014
Puebla,1.6585,6.2794,21.73802778,2014
Oaxaca,1.23735,3.23568,42.62211072,2014
Durango,1.042,3.2288200000000002,41.8382936,2014
Colima,0.71725,3.93175,52.537770030000004,2014
Veracruz,0.491,1.947,29.53559625,2014
Hidalgo,0.2955,1.39245,18.89045,2014
Baja California Sur,0.0865,0.2394,2.9182407,2014
Guanajuato,0.052,0.116,1.0619998,2014
Zacatecas,0.049,0.3345,3.80315052,2014
Baja California,0.0345,0.13603,2.40204176,2014
Querétaro,0.034,0.0992,1.29952,2014
Sonora,0.027,0.36635,5.31854369,2014
Sinaloa,0.0255,0.30875,4.26067492,2014
Michoacán,132.70356,1262.5566399999998,17675.412363630003,2015
Jalisco,16.95987,118.78389999999999,1797.1946960799999,2015
Estado de México,8.06521,88.37925999999999,1002.01973013,2015
Nayarit,4.93957,33.7984,261.86350938,2015
Guerrero,3.59429,11.46421,109.05778287000001,2015
Morelos,3.546,26.94201,376.45477056,2015
Chiapas,2.9314,8.86126,109.92824018,2015
Puebla,1.877,9.576270000000001,93.31567168000001,2015
